ticker,date,open,high,low,close
CEAB3,2023-01-02,2.28,2.28,2.15,2.2
CEAB3,2023-01-03,2.19,2.26,2.12,2.12
CEAB3,2023-01-04,2.14,2.25,2.13,2.25
CEAB3,2023-01-05,2.25,2.34,2.22,2.31
CEAB3,2023-01-06,2.27,2.36,2.25,2.35
CEAB3,2023-01-09,2.33,2.39,2.26,2.36
CEAB3,2023-01-10,2.34,2.59,2.31,2.56
CEAB3,2023-01-11,2.55,2.68,2.49,2.63
CEAB3,2023-01-12,2.49,2.63,2.39,2.55
CEAB3,2023-01-13,2.53,2.61,2.4,2.43
CEAB3,2023-01-16,3.0,3.13,2.5,2.71
CEAB3,2023-01-17,2.66,2.91,2.53,2.61
CEAB3,2023-01-18,2.65,2.72,2.53,2.55
CEAB3,2023-01-19,2.5,2.6,2.47,2.5
CEAB3,2023-01-20,2.51,3.08,2.5,3.07
CEAB3,2023-01-23,3.06,3.06,2.78,2.8
CEAB3,2023-01-24,2.81,2.95,2.78,2.82
CEAB3,2023-01-25,2.82,3.04,2.8,2.94
CEAB3,2023-01-26,2.9,3.01,2.9,2.98
CEAB3,2023-01-27,2.98,3.2,2.95,3.11
CEAB3,2023-01-30,3.14,3.15,2.87,2.89
CEAB3,2023-01-31,2.89,3.03,2.81,2.98
CEAB3,2023-02-01,2.97,3.11,2.94,3.06
CEAB3,2023-02-02,3.04,3.14,3.01,3.06
CEAB3,2023-02-03,3.05,3.05,2.9,2.9
CEAB3,2023-02-06,2.9,2.92,2.69,2.71
CEAB3,2023-02-07,2.71,2.79,2.61,2.61
CEAB3,2023-02-08,2.63,2.65,2.45,2.56
CEAB3,2023-02-09,2.56,2.61,2.41,2.41
CEAB3,2023-02-10,2.4,2.42,2.25,2.28
CEAB3,2023-02-13,2.28,2.34,2.16,2.29
CEAB3,2023-02-14,2.29,2.37,2.19,2.22
CEAB3,2023-02-15,2.23,2.34,2.19,2.3
CEAB3,2023-02-16,2.29,2.34,2.23,2.25
CEAB3,2023-02-17,2.24,2.29,2.14,2.14
CEAB3,2023-02-22,2.14,2.16,2.01,2.02
CEAB3,2023-02-23,2.02,2.06,1.98,2.04
CEAB3,2023-02-24,2.05,2.1,2.01,2.01
CEAB3,2023-02-27,1.99,2.07,1.98,2.03
CEAB3,2023-02-28,2.04,2.11,2.02,2.02
CEAB3,2023-03-01,2.03,2.08,1.88,1.94
CEAB3,2023-03-02,2.32,2.34,2.15,2.18
CEAB3,2023-03-03,2.21,2.8,2.18,2.72
CEAB3,2023-03-06,2.77,2.9,2.65,2.89
CEAB3,2023-03-07,2.86,3.04,2.85,2.96
CEAB3,2023-03-08,2.95,3.17,2.94,3.11
CEAB3,2023-03-09,3.11,3.17,2.92,3.0
CEAB3,2023-03-10,2.99,3.04,2.86,2.98
CEAB3,2023-03-13,2.93,3.19,2.86,3.1
CEAB3,2023-03-14,3.1,3.14,2.85,2.87
CEAB3,2023-03-15,2.8,3.03,2.78,3.0
CEAB3,2023-03-16,3.0,3.05,2.94,2.98
CEAB3,2023-03-17,2.98,2.99,2.84,2.84
CEAB3,2023-03-20,2.82,2.86,2.71,2.73
CEAB3,2023-03-21,2.75,2.77,2.7,2.73
CEAB3,2023-03-22,2.72,2.86,2.64,2.71
CEAB3,2023-03-23,2.71,2.72,2.51,2.6
CEAB3,2023-03-24,2.6,2.65,2.41,2.57
CEAB3,2023-03-27,2.58,2.79,2.58,2.73
CEAB3,2023-03-28,2.7,2.92,2.66,2.9
CEAB3,2023-03-29,2.9,2.92,2.74,2.81
CEAB3,2023-03-30,2.85,3.02,2.82,2.89
CEAB3,2023-03-31,2.86,2.94,2.72,2.79
CEAB3,2023-04-03,2.81,2.84,2.71,2.84
CEAB3,2023-04-04,2.83,2.88,2.65,2.65
CEAB3,2023-04-05,2.7,2.8,2.59,2.65
CEAB3,2023-04-06,2.65,2.7,2.62,2.67
CEAB3,2023-04-10,2.7,2.75,2.64,2.67
CEAB3,2023-04-11,2.73,2.98,2.71,2.95
CEAB3,2023-04-12,3.0,3.11,2.99,3.06
CEAB3,2023-04-13,3.06,3.23,2.99,3.11
CEAB3,2023-04-14,3.12,3.14,3.0,3.06
CEAB3,2023-04-17,3.03,3.1,3.01,3.01
CEAB3,2023-04-18,3.06,3.08,2.85,2.91
CEAB3,2023-04-19,2.85,2.9,2.67,2.7
CEAB3,2023-04-20,2.71,2.84,2.64,2.78
CEAB3,2023-04-24,2.77,2.87,2.75,2.84
